id,time,mood,appCat.communication,appCat.other,sms,circumplex.valence,screen,appCat.entertainment,appCat.weather,appCat.social,appCat.game,appCat.office,call,appCat.builtin,appCat.finance,circumplex.arousal,activity,appCat.utilities,appCat.unknown,appCat.travel
AS14.01,2014-04-04 13:00:00,6.0,1968.5169999999998,12.242,0.0,0.0,4453.455999612808,685.094,0.0,956.881,0.0,0.0,0.0,346.279,0.0,1.0,0.684663750683433,21.112,0.0,0.0
AS14.01,2014-04-04 15:00:00,6.0,381.211,8.024,0.0,1.0,720.2149991989136,124.935,0.0,0.0,0.0,0.0,0.0,158.23499999999999,0.0,0.0,0.43683589138134626,50.232,0.0,0.0
AS14.01,2014-04-04 18:00:00,6.0,1725.494,132.246,0.0,0.0,3129.4790000915536,568.5989999999999,0.0,315.53,0.0,0.0,1.0,302.991,0.0,1.0,0.8583333333333341,20.224,0.0,158.24099999999999
AS14.01,2014-04-04 21:00:00,7.0,741.065,10.168,0.0,1.0,914.3060002326976,0.0,0.0,288.538,0.0,0.0,0.0,966.791,0.0,0.0,0.8013018914271685,16.059,0.0,0.0
AS14.01,2014-04-05 10:00:00,6.0,353.771,14.121,1.0,0.0,3245.648000955585,0.0,0.0,0.0,0.0,0.0,1.0,14719.916000000001,0.0,-1.0,0.329791202660676,38.115,0.0,0.0
AS14.01,2014-04-05 12:00:00,8.0,116.315,35.461,0.0,1.0,329.4230000972744,76.369,0.0,65.427,0.0,0.0,0.0,26.63,0.0,-1.0,0.19327731092437,0.0,0.0,0.0
AS14.01,2014-04-05 14:00:00,7.0,332.421,21.224,0.0,1.0,773.7999999523172,0.0,0.0,80.638,0.0,0.0,0.0,81.53999999999999,0.0,0.0,0.334803921568627,69.795,0.0,187.945
AS14.01,2014-04-05 18:00:00,6.0,607.528,8.382,0.0,0.0,708.7850003242494,0.0,0.0,28.119,0.0,0.0,0.0,37.236,0.0,0.0,1.336263736263737,27.081,0.0,0.0
AS14.01,2014-04-05 21:00:00,7.0,794.937,8.036,0.0,1.0,1345.0049993991847,0.0,0.0,189.024,0.0,0.0,0.0,347.227,0.0,0.0,0.8627118644067804,5.03,0.0,0.0
AS14.01,2014-04-06 13:00:00,6.0,1529.2,8.03,0.0,0.0,1416.7219998836517,0.0,0.0,51.197,0.0,0.0,3.0,1376.2359999999999,0.0,0.0,1.1734095637385766,0.0,0.0,0.0
AS14.01,2014-04-06 16:00:00,7.0,516.777,63.583,0.0,1.0,1349.401999711991,187.214,0.0,237.166,0.0,0.0,1.0,506.113,0.0,-1.0,0.1441689623507804,19.082,0.0,0.0
AS14.01,2014-04-06 18:00:00,6.0,126.045,10.188,0.0,0.0,901.6900000572207,0.0,0.0,33.097,0.0,0.0,0.0,828.621,0.0,-1.0,0.0331955922865014,4.094,0.0,0.0
AS14.01,2014-04-06 21:00:00,7.0,643.829,38.167,0.0,1.0,2619.6110000610333,0.0,0.0,0.0,114.406,0.0,0.0,1799.723,0.0,-1.0,0.1619622207857499,23.073,0.0,0.0
AS14.01,2014-04-07 10:00:00,6.0,690.679,7.182,0.0,0.0,1350.8769998550408,0.0,0.0,375.722,0.0,0.0,0.0,230.606,46.128,-1.0,0.075,0.0,0.0,0.0
AS14.01,2014-04-07 15:00:00,7.0,2359.388,99.41,0.0,1.0,3896.3500003814706,309.401,0.0,115.941,0.0,17.107,0.0,426.602,0.0,0.0,0.8118422437429452,131.44400000000002,0.0,60.247
